ユーザー名,ユーザー表示名,ユーザーID,リツイートID,時間,ツイート
gura,DT_tac_gr,3251684340,1347587636886523905,Fri Jan 08 16:55:04 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
R u N Λ,RuNA_0R,1193718682775519232,1347516325686464513,Fri Jan 08 12:11:42 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
arumajiroma,arumajiroma,1291900405765402624,1347513333763637252,Fri Jan 08 11:59:49 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
五島慶太2013,king_has_come,157892275,1347509873123106818,Fri Jan 08 11:46:03 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
"""syake_2233""",syake_2233,826271928465776640,1347490615571869696,Fri Jan 08 10:29:32 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
ryon_vt,nryo14297804,1056541766839488513,1347481305752092675,Fri Jan 08 09:52:32 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
🎅🐍 Y u u @ R a z e r 🏠,Yuu_Razer,881704692241252352,1347480319859904514,Fri Jan 08 09:48:37 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
Streamer【ストリーマー】,Streamer0919,1265275771007860737,1347473482804727811,Fri Jan 08 09:21:27 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
jun,jun009a,2176845564,1347472991437746177,Fri Jan 08 09:19:30 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
😼,AxNyxn,1032640015610728449,1347472957505867776,Fri Jan 08 09:19:22 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
おこ◇Jo（おこじょ）,oko_jo,88437158,1347469456134402050,Fri Jan 08 09:05:27 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
💫𝓝𝓪𝓰𝓲𝓼𝓪⚡,NNagisaA_A,1294612036400242690,1347469305907081216,Fri Jan 08 09:04:51 +0000 2021,"RT @RazerJP: 来週、日本時間1月13日（水）3:00AMにRazerStore LIVE CES Editionが開催されます。

3:00AM... 午前3時、それも平日…
(｡´Д⊂) ｳﾜｧｧｧﾝ!

当日はラスベガスのRazerStoreから新商品発表やご案…"
