userid,follower
1123063495203770369,0
4724205716,0
867646883811868672,0
1264382275925364736,1
1169108540490801152,0
1682712355,0
1287334957153624064,1
1208016405372665856,0
1091613865111052288,0
1243352090337927168,1
1266260782473334785,0
1132326627470274560,0
1171704369504407552,1
1254410856303144966,1
1191240057857855489,0
1084682612348612608,1
165678833,0
1277189567271985157,0
1120376465902559232,0
1099793390437203973,0
3141122892,0
977537640244195333,0
2291825076,1
1059047397785952257,1
1294612036400242690,1
860158931481407488,0
771923570188517376,0
801013068008341504,0
3071665777,1
905439866309054464,1
1223684980376629248,0
1635259542,0
717956504079314944,0
1176141337650855936,1
1276817649868009472,1
918038950874308609,0
1672060344,1
874295157817868288,0
1084503874382123008,0
1240131084567879680,1
1001311483500806145,1
1280471088518987776,1
1227980923477475329,0
1152442490542145536,0
716898421672517632,0
758181603596271616,0
985372514644738048,1
895668829480562694,0
857590169637052416,1
1173928232761970689,0
1253650692259995648,1
1206931534860582920,0
881704692241252352,0
762464003939373057,0
879714475858739202,0
966990741338648576,0
826271928465776640,0
1284126614717005824,0
972105241637281795,0
1287304470380941312,0
977475276,0
550214278,0
57327121,0
1032640015610728449,0
2191040744,1
1090135990482530304,0
1248190659753738240,0
1021354574379069440,0
972731628085587974,1
930232913576189952,0
2611726645,0
1193718682775519232,0
723858910138900483,0
1255127687321935878,1
182654461,1
181140376,0
1218707252170784768,1
1156402529787244544,0
2944561291,1
3615443358,1
1300353885127622658,1
3390000580,1
973108791666339840,1
857231268022439936,0
1236824734291001344,1
456475302,0
1165659936556081153,1
1275808784263180288,1
786751189371060228,0
122500517,1
4156410860,1
2789457864,1
2481850592,0
2723852971,1
3271010372,0
839795233147633664,0
959810413536845829,1
866924070368985089,0
1300782492484468737,1
756848370757410816,0
809995983673290752,0
83835297,0
228000704,1
1103799292643299328,0
753071424110145536,1
2267645214,1
2268750866,0
874106154804158464,0
967771105531326466,1
1028669650144350209,1
1120948670625538048,1
445219640,0
2176845564,0
1619987910,1
1223596796972163072,1
2537532373,1
1232619402136182787,1
2976994970,0
2317122990,0
1040226479127162881,1
1088435771030163456,0
984933520895197184,0
2904425508,0
1176191255237160960,1
1121620674,0
2742130506,0
972693771908362240,1
728647036195610624,0
